asset,asset_label,primary_asset,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,baseline_period,ret_3m,ret_6m,ret_12m,mdd_12m,mae_12m,mfe_12m,event_trough_month,mdd_trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months,evidence_time,source_module_casebook,causal_status,oos_status,deployment_status,interpretation_guardrail
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,2000-12,-0.1060104978967459,-0.0950313126533579,-0.1432997573297205,0.2151019302810527,-0.2151019302810527,0.0,8,8,39.0,,True,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,2000-12,-0.0373649398134834,-0.0722203963134902,-0.3147159114251674,0.3430163134968517,-0.3206934801363954,0.0339777589901379,11,11,3.0,9.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,1999-05,-0.039855072463768,0.0253623188405796,0.0362318840579709,0.1157556270096462,-0.072463768115942,0.1268115942028984,1,11,21.0,24.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,1999-05,0.1175484575375922,0.4884526301945342,0.5384400662191153,0.265370509662039,0.0,0.9115648406804776,2,11,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,1999-05,-0.0104364375018974,0.0725260616779404,0.0975059024302364,0.0586390864419136,-0.0240707357057627,0.0975059024302364,4,4,1.0,1.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,1999-05,0.3591857125015611,0.4677157487198702,0.7860354332815929,0.1522982369635861,0.0,0.7860354332815929,1,10,1.0,2.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,2000-04,-0.0197499999999999,-0.05,-0.0285714285714285,0.0909090909090909,-0.0714285714285714,0.0214285714285713,11,11,5.0,10.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,2000-04,0.0118954197089848,-0.2091868499180887,-0.4354727350473382,0.5186461855521276,-0.4994540595847028,0.0398711413338208,11,11,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,2000-04,0.0164935941594863,-0.05906685103866,-0.1306914387554835,0.2016941552670919,-0.1885272226489213,0.0164935941594863,10,10,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,2000-04,0.2159642592453803,0.3366652926628195,0.1165933864614821,0.20650806889339,0.0,0.3366652926628195,10,10,22.0,23.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,2000-05,-0.0036363636363636,-0.0145454545454545,-0.0181818181818181,0.0780141843971631,-0.0545454545454545,0.0254545454545453,10,10,1.0,5.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,2000-05,0.0984592239862405,-0.2467421971507437,-0.4014162821525175,0.5186461855521276,-0.4518992228938113,0.1386650747431534,10,10,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,2000-05,0.0349490102367253,-0.0617210516193574,-0.1267336432953307,0.2016941552670919,-0.1639992195711429,0.0472186643059848,9,9,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,2000-05,0.1824532199404467,-0.0088573650114692,-0.0457145434704537,0.20650806889339,-0.0570335653732165,0.1883755809737284,9,9,22.0,23.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,2007-08,0.2075187969924812,0.4556390977443609,0.2481203007518797,0.1425619834710744,0.0,0.4556390977443609,1,12,5.0,12.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,2007-08,0.0480605895001187,-0.1121011387560741,-0.1314592525625789,0.2067164153986956,-0.1314592525625789,0.0948679189850374,12,12,26.0,29.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,2007-08,0.0169161641465525,-0.0946461989454062,-0.1633379162485054,0.2095502314858965,-0.1633379162485054,0.0584633168079251,12,12,42.0,54.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,2007-08,0.2671636051172041,0.4574309423803773,0.4389153710985953,0.2223312988177045,0.0,0.8502935361947854,1,12,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,2004-05,0.0546875,0.1510416666666667,0.1223958333333332,0.0452488687782804,0.0,0.1510416666666667,1,11,3.0,4.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,2004-05,-0.0235657503931674,0.1136213217610782,0.074528930265395,0.0893397089906309,-0.0561212072544344,0.1136213217610782,2,10,2.0,4.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,2004-05,0.0134883503664053,0.0874407527903025,0.0902007043220367,0.0293418172312237,-0.0125559852347287,0.0902007043220367,2,10,2.0,2.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,2004-05,0.1504666938240555,0.0699302763559506,0.3954981708121041,0.1879130449451944,0.0,0.3954981708121041,1,6,3.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,2006-05,-0.1140740740740741,-0.0666666666666666,-0.0281481481481481,0.1318518518518519,-0.1318518518518519,0.0059259259259258,4,4,3.0,6.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,2006-05,-0.0103963867665933,0.0831192682837953,0.1559333752490312,0.0708482636316153,-0.0708482636316153,0.1559333752490312,1,1,2.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,2006-05,0.0214954194265821,0.097988406591321,0.1740104810702221,0.0261925975168988,-0.0230843486281661,0.1740104810702221,1,9,1.0,1.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,2006-05,-0.096281274944034,-0.1260332327136288,-0.0480287807283039,0.2639152296426282,-0.2308093773803144,0.0449755973707224,7,7,5.0,6.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,2006-07,-0.0094637223974763,0.0488958990536276,0.0488958990536276,0.0757097791798107,-0.0757097791798107,0.0709779179810725,2,2,1.0,4.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,2006-07,0.1545831371040511,0.1886948975719413,0.21728001440517,0.0435307639150225,0.0,0.2726807810230718,1,12,1.0,2.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,2006-07,0.1018859985995139,0.1464491289264249,0.1542430838214796,0.0434586653126819,0.0,0.2066839580944903,1,12,1.0,2.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,2006-07,-0.2015499413412312,-0.2005415266366391,-0.0233039252654575,0.2639152296426282,-0.2639152296426282,0.0004740532193034,5,5,5.0,6.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,2019-06,0.1000735835172921,0.1486387049300956,0.3590875643855775,0.0264725347452018,0.0,0.3590875643855775,4,4,2.0,2.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,2019-06,0.0324345080644441,0.1799128362706294,0.3417567873364013,0.1748242325021655,-0.0068051076504382,0.3417567873364013,8,8,2.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,2019-06,0.0302782674307569,0.1342611052178108,0.1098390609875281,0.1909000914287328,-0.0822694434723247,0.1342611052178108,8,8,3.0,5.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,2019-06,-0.0127056034714199,0.0523541621744063,-0.2551716681982429,0.7233610635672492,-0.6972488853749431,0.0943908277302596,9,9,2.0,11.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,2015-11,0.1464088397790055,0.1749539594843463,0.0653775322283609,0.1365671641791045,0.0,0.2338858195211786,1,12,4.0,30.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,2015-11,-0.0645406640503548,-0.0445203922026139,0.0650484365574801,0.1218495988446647,-0.1218495988446647,0.0650484365574801,2,2,2.0,6.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,2015-11,-0.028194726577875,0.0015739876170248,0.0797900725775262,0.0846854814056811,-0.0846854814056811,0.0797900725775262,2,2,1.0,4.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,2015-11,-0.1153801256643859,0.1487571177511921,0.2244625488113891,0.2855678725835522,-0.2855678725835522,0.2244625488113891,2,2,1.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,2018-11,0.0655200655200656,0.1130221130221129,0.2113022113022113,0.0272727272727272,0.0,0.2375102375102376,5,5,1.0,1.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,2018-11,0.0543505821455194,0.0814498257442812,0.2131692429426581,0.0359102933989026,-0.0354370962815904,0.2131692429426581,1,8,1.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,2018-11,0.0296531433199571,0.0613001728720337,0.166536742336244,0.042538222757256,-0.042538222757256,0.166536742336244,1,1,1.0,1.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,2018-11,0.0208542061395204,-0.0404820630754779,0.0500876292128587,0.1550104666705353,-0.0980941429913139,0.1211105524130531,1,10,2.0,19.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,2018-12,0.0287999999999999,0.1304,0.2487999999999999,0.0272727272727272,0.0,0.2487999999999999,4,4,1.0,1.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,2018-12,0.1730300472352317,0.2041748641509095,0.3549991832365704,0.0359102933989026,0.0,0.3549991832365704,1,7,1.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,2018-12,0.1310682916373069,0.1670256755474319,0.2769031381348572,0.0329303884257732,0.0,0.2769031381348572,1,7,1.0,3.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,2018-12,0.289555711897844,0.1582164372014161,0.1614665049111601,0.1550104666705353,0.0,0.289555711897844,9,9,2.0,19.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,2024-08,0.0720647773279352,0.2076923076923076,0.4850202429149797,0.0156133828996282,0.0,0.4850202429149797,3,3,1.0,1.0,True,True,20,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,2024-08,0.1428223769907444,0.0324153837249099,0.2849341507528564,0.1548604932549572,-0.0341556600128449,0.2849341507528564,7,7,1.0,3.0,True,True,17,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,2024-08,0.0972386106741245,0.0375612841760673,0.2018547277797222,0.1108177848216077,-0.0198456731024742,0.2018547277797222,7,7,1.0,3.0,True,True,17,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,2024-08,-0.0856131217357751,-0.1101171599680813,-0.1659312237369533,0.1892926509619752,-0.1892926509619752,0.0,8,8,10.0,10.0,True,True,16,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,2022-02,-0.0102370689655172,-0.0942887931034482,0.0307112068965518,0.1409395973154362,-0.1034482758620689,0.0436422413793102,7,7,3.0,6.0,True,True,46,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,2022-02,-0.1784198739848299,-0.1795760263415237,-0.162722529617447,0.2228429854523177,-0.2228429854523177,0.0,7,7,7.0,9.0,True,True,47,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,2022-02,-0.1210631585921614,-0.1319798405324089,-0.1053704698011668,0.1600389225564058,-0.1600389225564058,0.0,7,7,6.0,9.0,True,True,47,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,2022-02,0.2531189849904744,-0.0805638650088965,-0.2003820996955088,0.3618978645427118,-0.2003820996955088,0.2531189849904744,12,12,37.0,,True,False,42,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,2023-06,-0.0138960370560987,0.0468347915594442,0.2341739577972208,0.0138960370560987,-0.0138960370560987,0.2341739577972208,2,2,2.0,2.0,True,True,35,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,2023-06,-0.0196341546373217,0.1201453649904313,0.3341939697279081,0.039307757282946,-0.0196341546373217,0.3341939697279081,3,3,1.0,1.0,True,True,35,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,2023-06,-0.0174834001501484,0.1056569120194503,0.2744601623486882,0.0421679614905226,-0.0174834001501484,0.2744601623486882,3,3,1.0,1.0,True,True,35,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,2023-06,0.2191010093478216,0.0555785278028211,0.1644508547627423,0.195974280123008,0.0,0.27298825251998,5,5,3.0,27.0,True,True,33,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,2023-08,0.0557582073996874,0.1245440333507035,0.3397602918186555,0.0106337728626116,-0.0015633142261594,0.3397602918186555,1,9,1.0,1.0,True,True,26,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
